Threshold,Method,Model,Accuracy_Mean,Accuracy_Std,Cohen_Kappa_Mean,Cohen_Kappa_Std,Num_Edges_Mean,Num_Edges_Std,Num_Nodes_Mean,Num_Nodes_Std,Modularity_Mean,Modularity_Std,Num_Communities_Mean,Num_Communities_Std,Avg_Community_Size_Mean,Avg_Community_Size_Std,Avg_Clustering_Mean,Avg_Clustering_Std,Graph_Density_Mean,Graph_Density_Std,Avg_Degree_Mean,Avg_Degree_Std,Nodes_Removed_Mean,Nodes_Removed_Std,Edges_Removed_Mean,Edges_Removed_Std,Percent_Nodes_Retained_Mean,Percent_Nodes_Retained_Std,Percent_Edges_Retained_Mean,Percent_Edges_Retained_Std
0.0,blackhole,GAT,0.6108237166732988,,0.4494691395800695,,414650.0,,12561.0,,0.8341194672965462,,876.0,,14.33904109589041,,0.6934126532041801,,0.005256513817665335,,66.0218135498766,,0.0,,0.0,,100.0,,100.0,
0.0,blackhole,GCN,0.6179864703541583,,0.46035807914962923,,414650.0,,12561.0,,0.8341194672965462,,876.0,,14.33904109589041,,0.6934126532041801,,0.005256513817665335,,66.0218135498766,,0.0,,0.0,,100.0,,100.0,
0.0,blackhole,GraphSAGE,0.6128133704735376,,0.4528858234461618,,414650.0,,12561.0,,0.8341194672965462,,876.0,,14.33904109589041,,0.6934126532041801,,0.005256513817665335,,66.0218135498766,,0.0,,0.0,,100.0,,100.0,
0.1,blackhole,GAT,0.630472741252923,0.010814069758565194,0.4747046440225479,0.011726296401874387,288575.2,1945.9898252560317,11033.2,12.08120670941258,0.8471687113324862,0.002391400922476389,705.6,11.157458890306918,15.640023867616694,0.23936213898215755,0.6090404387422363,0.0027174583967654537,0.004741616201577144,3.290897498860176e-05,52.31036892228369,0.3533331471313881,1527.8,12.081206709412578,126074.8,1945.9898252560313,87.83695565639678,0.09618029384135432,69.59488725431086,0.4693090136876953
0.1,blackhole,GCN,0.599587660015479,0.011938574054415394,0.43956921421105183,0.014960877954170173,288575.2,1945.9898252560317,11033.2,12.08120670941258,0.8471687113324862,0.002391400922476389,705.6,11.157458890306918,15.640023867616694,0.23936213898215755,0.6090404387422363,0.0027174583967654537,0.004741616201577144,3.290897498860176e-05,52.31036892228369,0.3533331471313881,1527.8,12.081206709412578,126074.8,1945.9898252560313,87.83695565639678,0.09618029384135432,69.59488725431086,0.4693090136876953
0.1,blackhole,GraphSAGE,0.6168251157869604,0.007202165052755779,0.456206220044942,0.0077404853032310384,288575.2,1945.9898252560317,11033.2,12.08120670941258,0.8471687113324862,0.002391400922476389,705.6,11.157458890306918,15.640023867616694,0.23936213898215755,0.6090404387422363,0.0027174583967654537,0.004741616201577144,3.290897498860176e-05,52.31036892228369,0.3533331471313881,1527.8,12.081206709412578,126074.8,1945.9898252560313,87.83695565639678,0.09618029384135432,69.59488725431086,0.4693090136876953
0.1,stratified,GAT,0.6096213256128032,0.03170946599031518,0.4449193670482165,0.039428151984431316,184201.9,597.9123774526759,9526.3,8.667307668602875,0.8261678074750798,0.0002902086795175761,700.1,5.762908216439952,13.607806867659344,0.10152504334737487,0.4912491615144988,0.0028571593251062863,0.004059974744764948,1.809005074131264e-05,38.672367403605406,0.1465841422470488,3034.7,8.667307668602875,230448.1,597.9123774526759,75.84029933922457,0.06900173289230874,44.42346557337514,0.14419688350480486
0.1,stratified,GCN,0.5556166555100592,0.03627308494154932,0.38096482207458776,0.045097261405893596,184201.9,597.9123774526759,9526.3,8.667307668602875,0.8261678074750798,0.0002902086795175761,700.1,5.762908216439952,13.607806867659344,0.10152504334737487,0.4912491615144988,0.0028571593251062863,0.004059974744764948,1.809005074131264e-05,38.672367403605406,0.1465841422470488,3034.7,8.667307668602875,230448.1,597.9123774526759,75.84029933922457,0.06900173289230874,44.42346557337514,0.14419688350480486
0.1,stratified,GraphSAGE,0.5781122820062474,0.01566932255598399,0.40684080298623115,0.018827018170827953,184201.9,597.9123774526759,9526.3,8.667307668602875,0.8261678074750798,0.0002902086795175761,700.1,5.762908216439952,13.607806867659344,0.10152504334737487,0.4912491615144988,0.0028571593251062863,0.004059974744764948,1.809005074131264e-05,38.672367403605406,0.1465841422470488,3034.7,8.667307668602875,230448.1,597.9123774526759,75.84029933922457,0.06900173289230874,44.42346557337514,0.14419688350480486
0.2,blackhole,GAT,0.631020174646621,0.021870224823465446,0.47400849016158453,0.024583537564829214,220974.5,3078.409374624788,9625.0,16.64665465224503,0.8563619325667922,0.003156995031750331,678.2,8.727988186161674,14.19396324799807,0.17264725659004312,0.6143217665556382,0.0020169606152428392,0.0047710884440312195,6.69307958160533e-05,45.916805367860874,0.636980640326085,2936.0,16.64665465224503,193675.5,3078.409374624788,76.62606480375766,0.1325265078596023,53.29181237187989,0.742411521674854
0.2,blackhole,GCN,0.5324914725523201,0.03237640220346605,0.3580944118248234,0.03847617792877816,220974.5,3078.409374624788,9625.0,16.64665465224503,0.8563619325667922,0.003156995031750331,678.2,8.727988186161674,14.19396324799807,0.17264725659004312,0.6143217665556382,0.0020169606152428392,0.0047710884440312195,6.69307958160533e-05,45.916805367860874,0.636980640326085,2936.0,16.64665465224503,193675.5,3078.409374624788,76.62606480375766,0.1325265078596023,53.29181237187989,0.742411521674854
0.2,blackhole,GraphSAGE,0.6009016309079361,0.01523190507452284,0.43931243271684767,0.018866975506476195,220974.5,3078.409374624788,9625.0,16.64665465224503,0.8563619325667922,0.003156995031750331,678.2,8.727988186161674,14.19396324799807,0.17264725659004312,0.6143217665556382,0.0020169606152428392,0.0047710884440312195,6.69307958160533e-05,45.916805367860874,0.636980640326085,2936.0,16.64665465224503,193675.5,3078.409374624788,76.62606480375766,0.1325265078596023,53.29181237187989,0.742411521674854
0.2,random,GAT,0.6154260143297625,0.010652785699031017,0.45060460196994995,0.01306366622717792,174838.5,1127.2699814645607,9485.6,4.5995168828427575,0.8311541685066874,7.26083277214132e-05,672.8,1.5491933384829668,14.098757069722364,0.032106426092720075,0.4411489105891112,0.0032192505168199335,0.0038867013065290905,2.1499753379150326e-05,36.86389140043531,0.22074478143653392,3075.4,4.5995168828427575,239811.5,1127.2699814645607,75.51628055091155,0.03661744194604369,42.1653201495237,0.2718606008596556
0.2,random,GCN,0.5286943067414387,0.0063199244468861975,0.3503185650030853,0.0070034181697560755,174838.5,1127.2699814645607,9485.6,4.5995168828427575,0.8311541685066874,7.26083277214132e-05,672.8,1.5491933384829668,14.098757069722364,0.032106426092720075,0.4411489105891112,0.0032192505168199335,0.0038867013065290905,2.1499753379150326e-05,36.86389140043531,0.22074478143653392,3075.4,4.5995168828427575,239811.5,1127.2699814645607,75.51628055091155,0.03661744194604369,42.1653201495237,0.2718606008596556
0.2,random,GraphSAGE,0.5811242496614962,0.005377727255895683,0.41028274257893305,0.0059012057502850065,174838.5,1127.2699814645607,9485.6,4.5995168828427575,0.8311541685066874,7.26083277214132e-05,672.8,1.5491933384829668,14.098757069722364,0.032106426092720075,0.4411489105891112,0.0032192505168199335,0.0038867013065290905,2.1499753379150326e-05,36.86389140043531,0.22074478143653392,3075.4,4.5995168828427575,239811.5,1127.2699814645607,75.51628055091155,0.03661744194604369,42.1653201495237,0.2718606008596556
0.2,stratified,GAT,0.6054525947994482,0.011957496017612567,0.4402334432666103,0.013926246936134439,154653.8,448.1147670457251,9337.5,10.895972752454103,0.824188497548632,0.0005119930597941668,682.9,7.27934673503666,13.674619880134435,0.13776513286817446,0.4170364409519614,0.0024927962990910673,0.00354796248022672,1.6516481322498103e-05,33.12541164583801,0.12259080407811843,3223.5,10.895972752454103,259996.2,448.1147670457251,74.33723429663243,0.08674446901085757,37.29743156879296,0.10807060582315854
0.2,stratified,GCN,0.5464486601115374,0.013107994297432068,0.3722318501266778,0.015170217454063514,154653.8,448.1147670457251,9337.5,10.895972752454103,0.824188497548632,0.0005119930597941668,682.9,7.27934673503666,13.674619880134435,0.13776513286817446,0.4170364409519614,0.0024927962990910673,0.00354796248022672,1.6516481322498103e-05,33.12541164583801,0.12259080407811843,3223.5,10.895972752454103,259996.2,448.1147670457251,74.33723429663243,0.08674446901085757,37.29743156879296,0.10807060582315854
0.2,stratified,GraphSAGE,0.5806061987630687,0.01155384749295788,0.41180237357631844,0.014424164324820646,154653.8,448.1147670457251,9337.5,10.895972752454103,0.824188497548632,0.0005119930597941668,682.9,7.27934673503666,13.674619880134435,0.13776513286817446,0.4170364409519614,0.0024927962990910673,0.00354796248022672,1.6516481322498103e-05,33.12541164583801,0.12259080407811843,3223.5,10.895972752454103,259996.2,448.1147670457251,74.33723429663243,0.08674446901085757,37.29743156879296,0.10807060582315854
0.3,blackhole,GAT,0.619166197251474,0.019892649430225118,0.4647977340135106,0.025478693609881573,163897.8,2657.0162797979074,8263.5,26.471158309039335,0.8647176513908794,0.0028687070849601226,698.7,15.549562337535065,11.831765917520396,0.24170681748455997,0.6107578113337412,0.0034575447105308662,0.004800988448154872,7.718931628899324e-05,39.66784364140724,0.627444312369106,4297.5,26.471158309039335,250752.2,2657.0162797979074,65.78695963697156,0.2107408511188539,39.526781623055584,0.6407853080424221
0.3,blackhole,GCN,0.5618770994657813,0.04353464424196483,0.3964840667726276,0.05233885042748562,163897.8,2657.0162797979074,8263.5,26.471158309039335,0.8647176513908794,0.0028687070849601226,698.7,15.549562337535065,11.831765917520396,0.24170681748455997,0.6107578113337412,0.0034575447105308662,0.004800988448154872,7.718931628899324e-05,39.66784364140724,0.627444312369106,4297.5,26.471158309039335,250752.2,2657.0162797979074,65.78695963697156,0.2107408511188539,39.526781623055584,0.6407853080424221
0.3,blackhole,GraphSAGE,0.6030964533731781,0.022553827018292373,0.44130275338557523,0.029193877289510586,163897.8,2657.0162797979074,8263.5,26.471158309039335,0.8647176513908794,0.0028687070849601226,698.7,15.549562337535065,11.831765917520396,0.24170681748455997,0.6107578113337412,0.0034575447105308662,0.004800988448154872,7.718931628899324e-05,39.66784364140724,0.627444312369106,4297.5,26.471158309039335,250752.2,2657.0162797979074,65.78695963697156,0.2107408511188539,39.526781623055584,0.6407853080424221
0.3,random,GAT,0.5822929424628891,0.01829941635895002,0.4143752957353855,0.021805011542697532,130757.6,1167.9552122310931,8155.5,9.360080721399315,0.8314365946041147,2.5738978847121684e-05,608.1,1.4491376746189437,13.4114887098654,0.022465463265346583,0.4237392119807299,0.0044435068023508635,0.003932264287266858,2.64259409702359e-05,32.06586312256533,0.25081375207026,4405.5,9.360080721399315,283892.4,1167.9552122310931,64.9271554812515,0.07451700279754235,31.534450741589296,0.2816725460583846
0.3,random,GCN,0.6276443775806194,0.006864736431838462,0.4734516737715329,0.008037004266076968,130757.6,1167.9552122310931,8155.5,9.360080721399315,0.8314365946041147,2.5738978847121684e-05,608.1,1.4491376746189437,13.4114887098654,0.022465463265346583,0.4237392119807299,0.0044435068023508635,0.003932264287266858,2.64259409702359e-05,32.06586312256533,0.25081375207026,4405.5,9.360080721399315,283892.4,1167.9552122310931,64.9271554812515,0.07451700279754235,31.534450741589296,0.2816725460583846
0.3,random,GraphSAGE,0.6034905124254231,0.008224107723775898,0.4376625918843103,0.009844120016791413,130757.6,1167.9552122310931,8155.5,9.360080721399315,0.8314365946041147,2.5738978847121684e-05,608.1,1.4491376746189437,13.4114887098654,0.022465463265346583,0.4237392119807299,0.0044435068023508635,0.003932264287266858,2.64259409702359e-05,32.06586312256533,0.25081375207026,4405.5,9.360080721399315,283892.4,1167.9552122310931,64.9271554812515,0.07451700279754235,31.534450741589296,0.2816725460583846
